Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Evaluating Multivariate Visualizations as Multi-objective Decision Aids","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40483-2_29","Meirav Taieb-MaimonLior LimonadDavid AmidDavid BoazAteret Anaby-Tavor","2013","http://link.springer.com/chapter/10.1007/978-3-642-40483-2_29","Chapter"
"Visualization Support for Multi-criteria Decision Making in Geographic Information Retrieval","Availability, Reliability, and Security in Information Systems and HCI","","","","10.1007/978-3-642-40511-2_26","Chandan KumarWilko HeutenSusanne Boll","2013","http://link.springer.com/chapter/10.1007/978-3-642-40511-2_26","Chapter"
"Multi-criteria Decision-Making: A Mechanism Design Technique for Sustainability","Mechanism Design for Sustainability","","","","10.1007/978-94-007-5995-4_2","Fabio De FeliceAntonella Petrillo","2013","http://link.springer.com/chapter/10.1007/978-94-007-5995-4_2","Chapter"
"Applying fuzzy multi-criteria decision-making model to ecotour plan selection","Quality & Quantity","","47","2","10.1007/s11135-011-9589-8","Chi-Shiun LaiHong-Long LeeYen-Chih Pan","2013","http://link.springer.com/article/10.1007/s11135-011-9589-8","Article"
"Decision Modeling","Business Analytics","","","","10.1007/978-1-4614-6080-0_4","Rahul SaxenaAnand Srinivasan","2013","http://link.springer.com/chapter/10.1007/978-1-4614-6080-0_4","Chapter"
"Multi-objective optimization by learning automata","Journal of Global Optimization","","55","2","10.1007/s10898-012-9973-5","H. L. LiaoQ. H. Wu","2013","http://link.springer.com/article/10.1007/s10898-012-9973-5","Article"
"Urban construction land suitability evaluation based on improved multi-criteria evaluation based on GIS (MCE-GIS): Case of New Hefei City, China","Chinese Geographical Science","","23","6","10.1007/s11769-013-0609-6","Xiaorui ZhangChuanglin FangZhenbo WangHaitao Ma","2013","http://link.springer.com/article/10.1007/s11769-013-0609-6","Article"
"Selection of initial designs for multi-objective optimization using classification and regression tree","Structural and Multidisciplinary Optimization","","48","6","10.1007/s00158-013-0947-0","Lei ShiYan FuRen-Jye YangBo-Ping WangPing Zhu","2013","http://link.springer.com/article/10.1007/s00158-013-0947-0","Article"
"Rough Sets: From Rudiments to Challenges","Rough Sets and Intelligent Systems - Professor Zdzisław Pawlak in Memoriam","","","","10.1007/978-3-642-30344-9_3","Hung Son NguyenAndrzej Skowron","2013","http://link.springer.com/chapter/10.1007/978-3-642-30344-9_3","Chapter"
"An Approach to Solve Multi-criteria Supplier Selection While Considering Environmental Aspects Using Differential Evolution","Swarm, Evolutionary, and Memetic Computing","","","","10.1007/978-3-319-03753-0_19","Sunil Kumar JauharMillie PantAakash Deep","2013","http://link.springer.com/chapter/10.1007/978-3-319-03753-0_19","Chapter"
"Rough Sets","Three Approaches to Data Analysis","","","","10.1007/978-3-642-28667-4_2","Igor ChikalovVadim LozinIrina LozinaMikhail MoshkovHung Son NguyenAndrzej SkowronBeata Zielosko","2013","http://link.springer.com/chapter/10.1007/978-3-642-28667-4_2","Chapter"
"Argumentation Based Dynamic Multiple Criteria Decision Making","Symbolic and Quantitative Approaches to Reasoning with Uncertainty","","","","10.1007/978-3-642-39091-3_30","Christophe Labreuche","2013","http://link.springer.com/chapter/10.1007/978-3-642-39091-3_30","Chapter"
"Literature Review","An Intelligent Customer Complaint Management System with Application to the Transport and Logistics Industry","","","","10.1007/978-3-319-00324-5_2","Alireza Faed","2013","http://link.springer.com/chapter/10.1007/978-3-319-00324-5_2","Chapter"
"A synergetic immune clonal selection algorithm based multi-objective optimization method for carbon fiber drawing process","Fibers and Polymers","","14","10","10.1007/s12221-013-1722-y","Jiajia ChenYongsheng DingYaochu JinKuangrong Hao","2013","http://link.springer.com/article/10.1007/s12221-013-1722-y","Article"
"Artificial Neural Network Based Vertical Handoff Algorithm for Reducing Handoff Latency","Wireless Personal Communications","","71","4","10.1007/s11277-012-0944-4","Ali ÇalhanCelal Çeken","2013","http://link.springer.com/article/10.1007/s11277-012-0944-4","Article"
"Shilling attack detection utilizing semi-supervised learning method for collaborative recommender system","World Wide Web","","16","5 - 6","10.1007/s11280-012-0164-6","Jie CaoZhiang WuBo MaoYanchun Zhang","2013","http://link.springer.com/article/10.1007/s11280-012-0164-6","Article"
"Interpretability of Fuzzy Systems","Fuzzy Logic and Applications","","","","10.1007/978-3-319-03200-9_3","Corrado Mencar","2013","http://link.springer.com/chapter/10.1007/978-3-319-03200-9_3","Chapter"
"Theory","Agent-Based Modelling of Socio-Technical Systems","","","","10.1007/978-94-007-4933-7_2","I. NikolicJ. Kasmire","2013","http://link.springer.com/chapter/10.1007/978-94-007-4933-7_2","Chapter"
"Abstracts from the 18th World Congress of the International Federation for the Surgery of Obesity & Metabolic Disorders (IFSO), Istanbul, Turkey 28-31 August 2013","Obesity Surgery","","23","8","10.1007/s11695-013-0986-z","","2013","http://link.springer.com/article/10.1007/s11695-013-0986-z","Article"
"MODM: multi-objective diffusion model for dynamic social networks using evolutionary algorithm","The Journal of Supercomputing","","66","2","10.1007/s11227-013-0947-2","Iram FatimaMuhammad FahimYoung-Koo LeeSungyoung Lee","2013","http://link.springer.com/article/10.1007/s11227-013-0947-2","Article"
"Assessment of Different Bioenergy Concepts in Terms of Sustainable Development","Sustainable Bioenergy Production - An Integrated Approach","","","","10.1007/978-94-007-6642-6_12","Swantje Eigner-ThielMeike SchmehlJens IbendorfJutta Geldermann","2013","http://link.springer.com/chapter/10.1007/978-94-007-6642-6_12","Chapter"
"What Can We Get from Learning Resource Comments on Engineering Pathway","Web Technologies and Applications","","","","10.1007/978-3-642-37401-2_48","Yunlu ZhangWei YuShijun Li","2013","http://link.springer.com/chapter/10.1007/978-3-642-37401-2_48","Chapter"
"Philosophy of Science, Operations Research, and Fuzzy Set Theory – Personal Observations","On Fuzziness","","","","10.1007/978-3-642-35644-5_48","Hans-Jürgen Zimmermann","2013","http://link.springer.com/chapter/10.1007/978-3-642-35644-5_48","Chapter"
"Efficiency appraisal and ranking of decision-making units using data envelopment analysis in fuzzy environment: a case study of Tehran stock exchange","Neural Computing and Applications","","23","1","10.1007/s00521-012-1209-6","Kamran RezaieVahid Majazi DalfardLoghman Hatami-ShirkouhiSalman Nazari-Shirkouhi","2013","http://link.springer.com/article/10.1007/s00521-012-1209-6","Article"
"Methodological Challenges in Combining Quantitative and Qualitative Foresight Methods for Sustainable Energy Futures: The SEPIA Project","Recent Developments in Foresight Methodologies","","","","10.1007/978-1-4614-5215-7_16","Erik LaesDa RuanFre MaesAviel Verbruggen","2013","http://link.springer.com/chapter/10.1007/978-1-4614-5215-7_16","Chapter"
"Technology Systems for Transportation System Management and Personal Use","Transportation and Information","","","","10.1007/978-1-4614-7129-5_3","Piyushimita (Vonu) ThakuriahD. Glenn Geers","2013","http://link.springer.com/chapter/10.1007/978-1-4614-7129-5_3","Chapter"
"Credit risk estimation using payment history data: a comparative study of Turkish retail stores","Central European Journal of Operations Research","","21","2","10.1007/s10100-012-0242-y","Mehmet Baha KaranAydın UlucanMustafa Kaya","2013","http://link.springer.com/article/10.1007/s10100-012-0242-y","Article"
"Methods to Improve and Expedite Convergence","Convergence of Knowledge, Technology and Society","","","","10.1007/978-3-319-02204-8_4","Mihail C. RocoGeorge WhitesidesJim MurdayPlacid M. FerreiraGiorgio AscoliChin Hua KongClayton TeagueRoop MahajanDavid RejeskiEli YablonovitchJian CaoMark Suchman","2013","http://link.springer.com/chapter/10.1007/978-3-319-02204-8_4","Chapter"
"The Establishment of Rough-Ann Model Fordynamic Risk Measure of Enterprise Technological Innovation and its Application","Proceedings of the Sixth International Conference on Management Science and Engineering Management","","","","10.1007/978-1-4471-4600-1_5","Xiaofeng LiLi Wang","2013","http://link.springer.com/chapter/10.1007/978-1-4471-4600-1_5","Chapter"
"Linguistic Extension of Fuzzy Integral for Group Personnel Selection Problem","Arabian Journal for Science and Engineering","","38","10","10.1007/s13369-012-0491-z","Ali Reza AfshariRosnah Mohd YusuffAmir Reza Derayatifar","2013","http://link.springer.com/article/10.1007/s13369-012-0491-z","Article"
"An ANP-based assessment model for lean enterprise transformation","The International Journal of Advanced Manufacturing Technology","","64","5 - 8","10.1007/s00170-012-4047-x","Ibrahim CilYusuf S. Turkan","2013","http://link.springer.com/article/10.1007/s00170-012-4047-x","Article"
"Subject Index","Journal of the Operational Research Society","","64","12","10.1057/jors.2013.165","","2013","http://link.springer.com/article/10.1057/jors.2013.165","Article"
"TEL as a Recommendation Context","Recommender Systems for Learning","","","","10.1007/978-1-4614-4361-2_2","Nikos ManouselisHendrik DrachslerKatrien VerbertErik Duval","2013","http://link.springer.com/chapter/10.1007/978-1-4614-4361-2_2","Chapter"
"Cynefin, statistics and decision analysis","Journal of the Operational Research Society","","64","4","10.1057/jors.2012.23","S French","2013","http://link.springer.com/article/10.1057/jors.2012.23","Article"
"Applications of Improved MADM Methods to the Decision Making Problems of Manufacturing Environment","Decision Making in Manufacturing Environment Using Graph Theory and Fuzzy Multiple Attribute Decision Making Methods","","","","10.1007/978-1-4471-4375-8_3","R. Venkata Rao","2013","http://link.springer.com/chapter/10.1007/978-1-4471-4375-8_3","Chapter"
"An Innovative Orders-of-Magnitude Approach to AHP-Based Multicriteria Decision Making: Prioritizing Divergent Intangible Humane Acts","Decision Making with the Analytic Network Process","","","","10.1007/978-1-4614-7279-7_14","Thomas L. SaatyLuis G. Vargas","2013","http://link.springer.com/chapter/10.1007/978-1-4614-7279-7_14","Chapter"
"Modular Multi-finger Haptic Device: Mechanical Design, Controller and Applications","Multi-finger Haptic Interaction","","","","10.1007/978-1-4471-5204-0_4","Ignacio GalianaJorge BarrioJose M. BreñosaManuel Ferre","2013","http://link.springer.com/chapter/10.1007/978-1-4471-5204-0_4","Chapter"
"The QoS-based MCDM system for SaaS ERP applications with Social Network","The Journal of Supercomputing","","66","2","10.1007/s11227-012-0832-4","James (Jong Huk) ParkHwa-Young Jeong","2013","http://link.springer.com/article/10.1007/s11227-012-0832-4","Article"
"Negotiation processes: an integrated perspective","EURO Journal on Decision Processes","","1","1 - 2","10.1007/s40070-013-0006-5","Rudolf Vetschera","2013","http://link.springer.com/article/10.1007/s40070-013-0006-5","Article"
"A Framework For Handling Local Broadcast Storm Using Probabilistic Data Aggregation In VANET","Wireless Personal Communications","","72","1","10.1007/s11277-013-1016-0","Rakesh KumarMayank Dave","2013","http://link.springer.com/article/10.1007/s11277-013-1016-0","Article"
"Sustainability Issues in Water Management","Water Resources Management","","27","6","10.1007/s11269-012-0172-4","Nilgun B. HarmanciogluFiliz BarbarosCem P. Cetinkaya","2013","http://link.springer.com/article/10.1007/s11269-012-0172-4","Article"
"Geotechnical site investigations for possible urban extensions at Suez City, Egypt using GIS","Arabian Journal of Geosciences","","6","5","10.1007/s12517-011-0441-1","Mohamed O. Arnous","2013","http://link.springer.com/article/10.1007/s12517-011-0441-1","Article"
"Dynamic Clustering Process to Calculate Affinity Degree of Users as Basis of a Social Network Recommender","Web Information Systems Engineering – WISE 2011 and 2012 Workshops","","","","10.1007/978-3-642-38333-5_22","Andrea ZandaErnestina MenasalvasSantiago Eibe","2013","http://link.springer.com/chapter/10.1007/978-3-642-38333-5_22","Chapter"
"A competence-based industrial learning approach for factories of the future","Education and Information Technologies","","18","2","10.1007/s10639-012-9247-3","Dimitris KiritsisAhmed BufardiDimitris MavrikiosThomas KnotheHadrien SzigetiAnirban Majumdar","2013","http://link.springer.com/article/10.1007/s10639-012-9247-3","Article"
"Incorporating Stakeholders’ Preferences into CSR Ratings: Fuzzy TOPSIS Approach to Evaluate Agri-Food Companies","Modeling and Simulation in Engineering, Economics, and Management","","","","10.1007/978-3-642-38279-6_4","Elena Escrig-OlmedoMaría Jesús Muñoz-TorresMaría Ángeles Fernández-IzquierdoJuana Maráa Rivera-Lirio","2013","http://link.springer.com/chapter/10.1007/978-3-642-38279-6_4","Chapter"
"An Introduction to Multicriteria Decision Aid: The PROMETHEE and GAIA Methods","Business Intelligence","","","","10.1007/978-3-642-36318-4_7","Yves De SmetKarim Lidouh","2013","http://link.springer.com/chapter/10.1007/978-3-642-36318-4_7","Chapter"
"Author and Title Index","Journal of the Operational Research Society","","64","12","10.1057/jors.2013.164","","2013","http://link.springer.com/article/10.1057/jors.2013.164","Article"
"Measuring and Evaluating Business Sustainability: Development and Application of Corporate Index of Sustainability Performance","Sustainability Appraisal: Quantitative Methods and Mathematical Techniques for Environmental Performance Evaluation","","","","10.1007/978-3-642-32081-1_3","Frank Medel-GonzálezLourdes García-ÁvilaAdael Acosta-BeltránCecilia Hernández","2013","http://link.springer.com/chapter/10.1007/978-3-642-32081-1_3","Chapter"
"Decision Space Visualization: Lessons Learned and Design Principles","Human-Computer Interaction. Interaction Modalities and Techniques","","","","10.1007/978-3-642-39330-3_71","Jill L. DruryMark S. PfaffGary L. KleinYikun Liu","2013","http://link.springer.com/chapter/10.1007/978-3-642-39330-3_71","Chapter"
"Analysis of Key Building Blocks in Targeted Advertising Technologies","Targeted Advertising Technologies in the ICT Space","","","","10.1007/978-3-8348-2396-0_5","Christian Schlee","2013","http://link.springer.com/chapter/10.1007/978-3-8348-2396-0_5","Chapter"
"Application of a Hybrid Taguchi-Genetic Algorithm to the Multiobjective Design Optimization of Yagi–Uda Antennas","Wireless Personal Communications","","71","2","10.1007/s11277-012-0882-1","Abdelmadjid Recioui","2013","http://link.springer.com/article/10.1007/s11277-012-0882-1","Article"
"The Adaptive Ontology-Based Personalized Recommender System","Wireless Personal Communications","","72","4","10.1007/s11277-013-1097-9","Sheng-Tzong ChengChih-Lun ChouGwo-Jiun Horng","2013","http://link.springer.com/article/10.1007/s11277-013-1097-9","Article"
"Indicators for Science, Technology and Innovation on the Crossroad to Foresight","Science, Technology and Innovation Policy for the Future","","","","10.1007/978-3-642-31827-6_15","Leonid Gokhberg","2013","http://link.springer.com/chapter/10.1007/978-3-642-31827-6_15","Chapter"
"Conclusions and Future Research Directions","Fuzzy Hierarchical Model for Risk Assessment","","","","10.1007/978-1-4471-5043-5_9","Hing Kai ChanXiaojun Wang","2013","http://link.springer.com/chapter/10.1007/978-1-4471-5043-5_9","Chapter"
"Intelligent Aggregation and Time Series Smoothing","Time Series Analysis, Modeling and Applications","","","","10.1007/978-3-642-33439-9_3","Ronald R. Yager","2013","http://link.springer.com/chapter/10.1007/978-3-642-33439-9_3","Chapter"
"Information Fusion Model Based on Multi-sensor Array and Its Anti-jamming Capability","Proceedings of 20th International Conference on Industrial Engineering and Engineering Management","","","","10.1007/978-3-642-40072-8_1","Jiang ShenZhi-fang LiuMan Xu","2013","http://link.springer.com/chapter/10.1007/978-3-642-40072-8_1","Chapter"
"Not Just Fun and Games: Reconceptualizing the Role of Young People in Economic Development","Toward a Good Society in the Twenty-First Century","","","","10.1057/9781137313621_7","K. Maeve Powlick","2013","http://link.springer.com/chapter/10.1057/9781137313621_7","Chapter"
"Recommendations for two-way selections using skyline view queries","Knowledge and Information Systems","","34","2","10.1007/s10115-012-0489-6","Jian ChenJin HuangBin JiangJian PeiJian Yin","2013","http://link.springer.com/article/10.1007/s10115-012-0489-6","Article"
"On the performance of Indian technical institutions: a combined SOWIA-MOORA approach","OPSEARCH","","50","3","10.1007/s12597-012-0116-z","Manik Chandra DasBijan SarkarSiddhartha Ray","2013","http://link.springer.com/article/10.1007/s12597-012-0116-z","Article"
"Comprehensive flood risk assessment based on set pair analysis-variable fuzzy sets model and fuzzy AHP","Stochastic Environmental Research and Risk Assessment","","27","2","10.1007/s00477-012-0598-5","Qiang ZouJianzhong ZhouChao ZhouLixiang SongJun Guo","2013","http://link.springer.com/article/10.1007/s00477-012-0598-5","Article"
"Uncertainty in Humanitarian Logistics for Disaster Management. A Review","Decision Aid Models for Disaster Management and Emergencies","","","","10.2991/978-94-91216-74-9_3","F. LiberatoreC. PizarroC. Simón de BlasM. T. OrtuñoB. Vitoriano","2013","http://link.springer.com/chapter/10.2991/978-94-91216-74-9_3","Chapter"
"Analysis of the influential pressures for green supply chain management adoption—an Indian perspective using interpretive structural modeling","The International Journal of Advanced Manufacturing Technology","","68","1 - 4","10.1007/s00170-013-4946-5","K. MathiyazhaganA. Noorul Haq","2013","http://link.springer.com/article/10.1007/s00170-013-4946-5","Article"
"Architectural scoring framework for the creation and evaluation of System-Aware Cyber Security solutions","Environment Systems and Decisions","","33","3","10.1007/s10669-013-9462-5","Rick A. JonesBarbara A. LuckettPeter A. BelingBarry M. Horowitz","2013","http://link.springer.com/article/10.1007/s10669-013-9462-5","Article"
"Models for Ranking Students: Selecting Applicants for a Master of Science Studies","Soft Computing Applications","","","","10.1007/978-3-642-33941-7_11","Pavle MiloševićIvan NešićAna PoledicaDragan G. RadojevićBratislav Petrović","2013","http://link.springer.com/chapter/10.1007/978-3-642-33941-7_11","Chapter"
"Introduction","Decision Making Algorithms for Hydro-Power Plant Location","","","","10.1007/978-981-4451-63-5_1","Mrinmoy MajumderSoumya Ghosh","2013","http://link.springer.com/chapter/10.1007/978-981-4451-63-5_1","Chapter"
"Recent advances on power distribution system planning: a state-of-the-art survey","Energy Systems","","4","2","10.1007/s12667-012-0073-x","S. GangulyN. C. SahooD. Das","2013","http://link.springer.com/article/10.1007/s12667-012-0073-x","Article"
"An Efficient Approach on Answering Top-k Queries with Grid Dominant Graph Index","Web Technologies and Applications","","","","10.1007/978-3-642-37401-2_77","Aiping LiJinghu XuLiang GanBin ZhouYan Jia","2013","http://link.springer.com/chapter/10.1007/978-3-642-37401-2_77","Chapter"
"User-centered design of a QoS-based web service selection system","Service Oriented Computing and Applications","","7","2","10.1007/s11761-011-0091-x","Delnavaz MobedpourChen Ding","2013","http://link.springer.com/article/10.1007/s11761-011-0091-x","Article"
"Assisting regional policy by rapidly comparing enterprise innovation between regions","Journal of Innovation and Entrepreneurship","","2","1","10.1186/2192-5372-2-16","Yiannis NikolaidisKonstantinos FouskasElias G Carayannis","2013","http://link.springer.com/article/10.1186/2192-5372-2-16","Article"
"Applications of IBMM","Data Processing for the AHP/ANP","","","","10.1007/978-3-642-29213-2_7","Professor Gang KouDaji ErguYi PengProfessor Yong Shi","2013","http://link.springer.com/chapter/10.1007/978-3-642-29213-2_7","Chapter"
"A Methodology for the Breakdown of NRW into Real and Administrative Losses","Water Resources Management","","27","7","10.1007/s11269-013-0262-y","Abbas Al-Omari","2013","http://link.springer.com/article/10.1007/s11269-013-0262-y","Article"
"Carbon Labelling and Reflections","Lean and Cleaner Production","","","","10.1007/978-3-642-42062-7_11","Peng WuSui Pheng Low","2013","http://link.springer.com/chapter/10.1007/978-3-642-42062-7_11","Chapter"
"Study on a comprehensive evaluation method for the assessment of the operational efficiency of wastewater treatment plants","Stochastic Environmental Research and Risk Assessment","","27","3","10.1007/s00477-012-0637-2","Rui Xia HaoFeng LiuHui Qin RenShui Yuan Cheng","2013","http://link.springer.com/article/10.1007/s00477-012-0637-2","Article"
"Trials and Tribulations in the Development of a Simulation-Based Interprofessional Education Activity","Medical Science Educator","","23","3","10.1007/BF03377290","John L Szarek PhD, CHSEWendy ManettiDebbie ZielinskiColleen HeckmanDiane SheaKaren ArscottAntonio PellegrinoMary TrianoDeirdre Spelman","2013","http://link.springer.com/article/10.1007/BF03377290","Article"
"Fuzzy soft set-based approach to prioritizing technical attributes in quality function deployment","Neural Computing and Applications","","23","7 - 8","10.1007/s00521-012-1201-1","Zhihui YangYizhen Chen","2013","http://link.springer.com/article/10.1007/s00521-012-1201-1","Article"
"Increasing Water Security: An Algorithm to Improve Water Distribution Performance","Water Resources Management","","27","8","10.1007/s11269-013-0323-2","Sara NazifMohammad KaramouzMohsen YousefiZahra Zahmatkesh","2013","http://link.springer.com/article/10.1007/s11269-013-0323-2","Article"
"Approach to Practical Ontology Design for Supporting COTS Component Selection Processes","Intelligent Information and Database Systems","","","","10.1007/978-3-642-36543-0_26","Agnieszka KonysJarosław WątróbskiPrzemysław Różewski","2013","http://link.springer.com/chapter/10.1007/978-3-642-36543-0_26","Chapter"
"Review: Regional groundwater flow modeling in heavily irrigated basins of selected states in the western United States","Hydrogeology Journal","","21","6","10.1007/s10040-013-1010-3","Nathan R. RossmanVitaly A. Zlotnik","2013","http://link.springer.com/article/10.1007/s10040-013-1010-3","Article"
"Countering Hybrid Eco-threats to Global Security Under International Law: The Need for an Comprehensive Legal Approach","Liverpool Law Review","","34","3","10.1007/s10991-013-9135-y","Joachim SandenSascha-Dominik Bachmann","2013","http://link.springer.com/article/10.1007/s10991-013-9135-y","Article"
"Exploration of factors that impact voluntary contribution to electronic knowledge repositories in organizational settings","Knowledge Management Research & Practice","","11","3","10.1057/kmrp.2012.9","George StewartKweku-Muata Osei-Bryson","2013","http://link.springer.com/article/10.1057/kmrp.2012.9","Article"
