Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Framework for Social Media Analytics based on Multi-Criteria Decision Making (MCDM) model","Multimedia Tools and Applications","","79","5 - 6","10.1007/s11042-019-7470-2","Muruganantham A.G. Meera Gandhi","2020","http://link.springer.com/article/10.1007/s11042-019-7470-2","Article"
"Service Selection Using Multi-criteria Decision Making: A Comprehensive Overview","Journal of Network and Systems Management","","28","4","10.1007/s10922-020-09553-w","Mehdi HosseinzadehHawkar Kamaran HamaMarwan Yassin GhafourMohammad MasdariOmed Hassan AhmedHemn Khezri","2020","http://link.springer.com/article/10.1007/s10922-020-09553-w","Article"
"Deep Q-network-based multi-criteria decision-making framework for virtual simulation environment","Neural Computing and Applications","","","","10.1007/s00521-020-04918-3","Hyeonjun JangShujia HaoPhuong Minh ChuPradip Kumar SharmaYunsick SungKyungeun Cho","2020","http://link.springer.com/article/10.1007/s00521-020-04918-3","Article"
"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities","Journal of Big Data","","7","1","10.1186/s40537-020-00329-2","Mahya SeyedanFereshteh Mafakheri","2020","http://link.springer.com/article/10.1186/s40537-020-00329-2","Article"
"The role of big data analytics in enabling green supply chain management: a literature review","Journal of Data, Information and Management","","2","2","10.1007/s42488-019-00020-z","Jia LiuMeng ChenHefu Liu","2020","http://link.springer.com/article/10.1007/s42488-019-00020-z","Article"
"Assessing the social sustainable supply chain indicators using an integrated fuzzy multi-criteria decision-making methods: a case study of Turkey","Environment, Development and Sustainability","","","","10.1007/s10668-020-00774-2","Abdullah YıldızbaşıCihat ÖztürkDeniz EfendioğluSerol Bulkan","2020","http://link.springer.com/article/10.1007/s10668-020-00774-2","Article"
"m-Polar Neutrosophic Topology with Applications to Multi-criteria Decision-Making in Medical Diagnosis and Clustering Analysis","International Journal of Fuzzy Systems","","22","1","10.1007/s40815-019-00763-2","Masooma Raza HashmiMuhammad RiazFlorentin Smarandache","2020","http://link.springer.com/article/10.1007/s40815-019-00763-2","Article"
"VNE strategy based on chaos hybrid flower pollination algorithm considering multi-criteria decision making","Neural Computing and Applications","","","","10.1007/s00521-020-04827-5","Peiying ZhangFanglin LiuGagangeet Singh AujlaSahil Vashisht","2020","http://link.springer.com/article/10.1007/s00521-020-04827-5","Article"
"Learning Analytics in Distance and Mobile Learning for Designing Personalised Software","Machine Learning Paradigms","","","","10.1007/978-3-030-13743-4_10","Katerina KabassiEfthimios Alepis","2020","http://link.springer.com/chapter/10.1007/978-3-030-13743-4_10","Chapter"
"A state of the art review of intelligent scheduling","Artificial Intelligence Review","","53","1","10.1007/s10462-018-9667-6","Mohammad Hossein Fazel ZarandiAli Akbar Sadat AslShahabeddin SotudianOscar Castillo","2020","http://link.springer.com/article/10.1007/s10462-018-9667-6","Article"
"Ranking-based MCDM models in financial management applications: analysis and emerging challenges","Progress in Artificial Intelligence","","9","3","10.1007/s13748-020-00207-1","Ana I. MarquésVicente GarcíaJ. Salvador Sánchez","2020","http://link.springer.com/article/10.1007/s13748-020-00207-1","Article"
"Learner classification based on interaction data in E-learning environments: the ELECTRE TRI method","Education and Information Technologies","","","","10.1007/s10639-020-10358-2","Muhittin ŞahinAydın UlucanHalil Yurdugül","2020","http://link.springer.com/article/10.1007/s10639-020-10358-2","Article"
"Service selection using fuzzy multi-criteria decision making: a comprehensive review","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-020-02441-w","Mohammad MasdariHemn Khezri","2020","http://link.springer.com/article/10.1007/s12652-020-02441-w","Article"
"Performance evaluation of municipal services with fuzzy multi-criteria decision making approaches: a case study from Turkey","SN Applied Sciences","","2","6","10.1007/s42452-020-2843-8","Seyma OzdoganAbdullah YildizbasiBabak Daneshvar Rouyendegh","2020","http://link.springer.com/article/10.1007/s42452-020-2843-8","Article"
"A Multi-Criteria Decision Analysis Based Framework to Evaluate Public Space Quality","Smart and Sustainable Cities and Buildings","","","","10.1007/978-3-030-37635-2_18","Peijun HePieter HerthogsMarco CinelliLudovica TomarchioBige Tunçer","2020","http://link.springer.com/chapter/10.1007/978-3-030-37635-2_18","Chapter"
"A data analytics-based tool for the detection and diagnosis of anomalous daily energy patterns in buildings","Building Simulation","","","","10.1007/s12273-020-0650-1","Marco Savino PiscitelliSilvio BrandiAlfonso CapozzoliFu Xiao","2020","http://link.springer.com/article/10.1007/s12273-020-0650-1","Article"
"A comparative analysis of machine learning techniques and fuzzy analytic hierarchy process to determine the tacit knowledge criteria","Annals of Operations Research","","","","10.1007/s10479-020-03697-3","Ibrahim YaziciOmer Faruk BeycaOmer Faruk GurcanHalil ZaimDursun DelenSelim Zaim","2020","http://link.springer.com/article/10.1007/s10479-020-03697-3","Article"
"A combined big data analytics and Fuzzy DEMATEL technique to improve the responsiveness of automotive supply chains","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-020-02524-8","Rinu SathyanP. ParthibanR. DhanalakshmiAmrita Minz","2020","http://link.springer.com/article/10.1007/s12652-020-02524-8","Article"
"Advancement of Statistical Analysis, Machine Learning and Decision Analysis Based on the Fourteenth ICMSEM Proceedings","Proceedings of the Fourteenth International Conference on Management Science and Engineering Management","","","","10.1007/978-3-030-49829-0_1","Jiuping Xu","2020","http://link.springer.com/chapter/10.1007/978-3-030-49829-0_1","Chapter"
"Green Computing Process and its Optimization Using Machine Learning Algorithm in Healthcare Sector","Mobile Networks and Applications","","25","4","10.1007/s11036-020-01549-9","A. H. ZubarR. Balamurugan","2020","http://link.springer.com/article/10.1007/s11036-020-01549-9","Article"
"Machine learning models and techniques for VANET based traffic management: Implementation issues and challenges","Peer-to-Peer Networking and Applications","","","","10.1007/s12083-020-00993-4","Sahil KhatriHrishikesh VachhaniShalin ShahJitendra BhatiaManish ChaturvediSudeep TanwarNeeraj Kumar","2020","http://link.springer.com/article/10.1007/s12083-020-00993-4","Article"
